2014-10-1,55
2014-10-2,47
2014-10-3,45
2014-10-6,59
2014-10-7,50
2014-10-8,48
2014-10-9,47
2014-10-10,111
2014-10-14,48
2014-10-15,64
2014-10-16,45
2014-10-17,42
2014-10-20,58
2014-10-21,50
2014-10-22,55
2014-10-23,57
2014-10-24,44
2014-10-27,56
2014-10-28,54
2014-10-29,48
2014-10-30,47
2014-10-31,47
2014-11-4,48
2014-11-5,51
2014-11-6,49
2014-11-7,109
2014-11-10,43
2014-11-11,47
2014-11-12,45
2014-11-13,45
2014-11-14,48
2014-11-17,55
2014-11-18,50
2014-11-19,45
2014-11-20,49
2014-11-21,41
2014-11-25,63
2014-11-26,56
2014-11-27,43
2014-11-28,43
